name,sex,percentage,total,abbreviation
Netherlands,M,4.9,6.5,NLD
Netherlands,F,8.2,6.5,NLD
Norway,M,6.2,7.4,NOR
Norway,F,8.5,7.4,NOR
Denmark,M,7.5,7.4,DNK
Denmark,F,7.3,7.4,DNK
Luxembourg,M,6.2,7.5,LUX
Luxembourg,F,8.8,7.5,LUX
Slovenia,M,7.8,8.0,SVN
Slovenia,F,8.2,8.0,SVN
Sweden,M,9.5,9.3,SWE
Sweden,F,9.1,9.3,SWE
Iceland,M,10.2,9.3,ISL
Iceland,F,8.5,9.3,ISL
Austria,M,8.1,10.0,AUT
Austria,F,11.9,10.0,AUT
Finland,M,10.0,10.8,FIN
Finland,F,11.6,10.8,FIN
Cyprus,M,8.6,11.5,CYP
Cyprus,F,14.2,11.5,CYP
France,M,11.3,12.0,FRA
France,F,12.7,12.0,FRA
Belgium,M,9.9,12.2,BEL
Belgium,F,14.4,12.2,BEL
Portugal,M,11.5,12.5,PRT
Portugal,F,13.6,12.5,PRT
Malta,M,8.9,12.6,MLT
Malta,F,16.4,12.6,MLT
Czechia,M,8.0,12.7,CZE
Czechia,F,17.6,12.7,CZE
Germany,M,10.5,12.9,DEU
Germany,F,15.3,12.9,DEU
Poland,M,11.6,14.3,POL
Poland,F,17.0,14.3,POL
Croatia,M,12.6,14.9,HRV
Croatia,F,17.3,14.9,HRV
Lithuania,M,16.3,15.0,LTU
Lithuania,F,13.6,15.0,LTU
Hungary,M,14.1,15.5,HUN
Hungary,F,16.9,15.5,HUN
Greece,M,11.2,15.5,GRC
Greece,F,19.9,15.5,GRC
Slovakia,M,14.0,16.5,SVK
Slovakia,F,19.1,16.5,SVK
Estonia,M,16.5,17.7,EST
Estonia,F,18.9,17.7,EST
Romania,M,14.6,17.9,ROU
Romania,F,21.4,17.9,ROU
Spain,M,20.4,19.9,ESP
Spain,F,19.5,19.9,ESP
Ireland,M,22.0,20.2,IRL
Ireland,F,18.4,20.2,IRL
Italy,M,17.3,20.7,ITA
Italy,F,24.1,20.7,ITA
Latvia,M,20.9,20.8,LVA
Latvia,F,20.7,20.8,LVA
Bulgaria,M,17.8,20.8,BGR
Bulgaria,F,24.1,20.8,BGR
North Macedonia,M,28.6,32.8,MKD
North Macedonia,F,37.2,32.8,MKD
Türkiye,M,21.3,38.1,TUR
Türkiye,F,54.3,38.1,TUR
